video_name,rgb_video_path,flow_video_path,label
v=uBXprlsmd18__#00-03-00_00-04-09_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=uBXprlsmd18__#00-03-00_00-04-09_label_B6-0-0_batch_1397.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=uBXprlsmd18__#00-03-00_00-04-09_label_B6-0-0_batch_1397.mp4,3
The.World.Is.Not.Enough.1999__#00-10-22_00-10-40_label_G-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\The.World.Is.Not.Enough.1999__#00-10-22_00-10-40_label_G-0-0_batch_1310.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\The.World.Is.Not.Enough.1999__#00-10-22_00-10-40_label_G-0-0_batch_1310.mp4,1
v=tP19WuyY3IY__#00-06-10_00-07-51_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=tP19WuyY3IY__#00-06-10_00-07-51_label_B6-0-0_batch_2202.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=tP19WuyY3IY__#00-06-10_00-07-51_label_B6-0-0_batch_2202.mp4,0
v=p7kvQ4OpDgU__#1_label_B4-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=p7kvQ4OpDgU__#1_label_B4-0-0_batch_2063.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=p7kvQ4OpDgU__#1_label_B4-0-0_batch_2063.mp4,0
v=fhiAyxpDQMU__#1_label_B4-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=fhiAyxpDQMU__#1_label_B4-0-0_batch_1556.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=fhiAyxpDQMU__#1_label_B4-0-0_batch_1556.mp4,0
Desperado.1995__#01-14-11_01-17-28_label_B2-G-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\Desperado.1995__#01-14-11_01-17-28_label_B2-G-0_batch_17.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\Desperado.1995__#01-14-11_01-17-28_label_B2-G-0_batch_17.mp4,0
v=sE-DC2trBkI__#00-01-00_00-02-45_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=sE-DC2trBkI__#00-01-00_00-02-45_label_B6-0-0_batch_214.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=sE-DC2trBkI__#00-01-00_00-02-45_label_B6-0-0_batch_214.mp4,3
v=3e3C-LQWF2s__#1_label_B1-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=3e3C-LQWF2s__#1_label_B1-0-0_batch_1430.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=3e3C-LQWF2s__#1_label_B1-0-0_batch_1430.mp4,2
wangted.2008__#0-48-30_0-49-00_label_B2-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\wangted.2008__#0-48-30_0-49-00_label_B2-0-0_batch_594.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\wangted.2008__#0-48-30_0-49-00_label_B2-0-0_batch_594.mp4,0
v=GqMh_HBNWZE__#00-01-00_00-02-45_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=GqMh_HBNWZE__#00-01-00_00-02-45_label_B6-0-0_batch_864.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=GqMh_HBNWZE__#00-01-00_00-02-45_label_B6-0-0_batch_864.mp4,3
v=Rc9EOFjtj0c__#1_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=Rc9EOFjtj0c__#1_label_B6-0-0_batch_804.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=Rc9EOFjtj0c__#1_label_B6-0-0_batch_804.mp4,3
v=251___mEwZA__#1_label_B1-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=251___mEwZA__#1_label_B1-0-0_batch_1881.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=251___mEwZA__#1_label_B1-0-0_batch_1881.mp4,2
v=vhACO_m5pH0__#00-17-42_00-18-40_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=vhACO_m5pH0__#00-17-42_00-18-40_label_B6-0-0_batch_2069.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=vhACO_m5pH0__#00-17-42_00-18-40_label_B6-0-0_batch_2069.mp4,0
v=vhACO_m5pH0__#00-10-42_00-11-40_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=vhACO_m5pH0__#00-10-42_00-11-40_label_B6-0-0_batch_2000.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=vhACO_m5pH0__#00-10-42_00-11-40_label_B6-0-0_batch_2000.mp4,3
Rush.Hour.1998.BluRay__#01-20-28_01-21-38_label_B2-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\Rush.Hour.1998.BluRay__#01-20-28_01-21-38_label_B2-0-0_batch_2441.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\Rush.Hour.1998.BluRay__#01-20-28_01-21-38_label_B2-0-0_batch_2441.mp4,4
v=5BBoVfKOyeM__#00-08-19_00-10-10_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=5BBoVfKOyeM__#00-08-19_00-10-10_label_B6-0-0_batch_1830.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=5BBoVfKOyeM__#00-08-19_00-10-10_label_B6-0-0_batch_1830.mp4,3
v=wPkBaI6vOv0__#00-00-00_00-01-00_label_G-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=wPkBaI6vOv0__#00-00-00_00-01-00_label_G-0-0_batch_1634.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=wPkBaI6vOv0__#00-00-00_00-01-00_label_G-0-0_batch_1634.mp4,1
Taken.3.2014__#01-04-50_01-05-05_label_B1-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\Taken.3.2014__#01-04-50_01-05-05_label_B1-0-0_batch_1872.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\Taken.3.2014__#01-04-50_01-05-05_label_B1-0-0_batch_1872.mp4,0
Rush.Hour.1998.BluRay__#00-08-08_00-09-15_label_B2-B6-G.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\Rush.Hour.1998.BluRay__#00-08-08_00-09-15_label_B2-B6-G_batch_208.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\Rush.Hour.1998.BluRay__#00-08-08_00-09-15_label_B2-B6-G_batch_208.mp4,0
v=vhACO_m5pH0__#00-14-42_00-15-40_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=vhACO_m5pH0__#00-14-42_00-15-40_label_B6-0-0_batch_2055.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=vhACO_m5pH0__#00-14-42_00-15-40_label_B6-0-0_batch_2055.mp4,0
v=ZoS8gm5OcOM__#00-07-50_00-08-55_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=ZoS8gm5OcOM__#00-07-50_00-08-55_label_B6-0-0_batch_1084.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=ZoS8gm5OcOM__#00-07-50_00-08-55_label_B6-0-0_batch_1084.mp4,3
v=wPkBaI6vOv0__#00-00-00_00-01-00_label_G-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=wPkBaI6vOv0__#00-00-00_00-01-00_label_G-0-0_batch_1632.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=wPkBaI6vOv0__#00-00-00_00-01-00_label_G-0-0_batch_1632.mp4,1
v=-fOWSLV6Esw__#1_label_B4-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=-fOWSLV6Esw__#1_label_B4-0-0_batch_1270.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=-fOWSLV6Esw__#1_label_B4-0-0_batch_1270.mp4,0
v=OOjjPGN8jSU__#1_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=OOjjPGN8jSU__#1_label_B6-0-0_batch_1771.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=OOjjPGN8jSU__#1_label_B6-0-0_batch_1771.mp4,0
Fast.Furious.2009__#01-29-10_01-29-55_label_B2-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\Fast.Furious.2009__#01-29-10_01-29-55_label_B2-0-0_batch_2087.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\Fast.Furious.2009__#01-29-10_01-29-55_label_B2-0-0_batch_2087.mp4,0
v=kVl-6-A9ZO4__#00-08-01_00-09-35_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=kVl-6-A9ZO4__#00-08-01_00-09-35_label_B6-0-0_batch_538.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=kVl-6-A9ZO4__#00-08-01_00-09-35_label_B6-0-0_batch_538.mp4,0
Ip.Man.3.2015__#00-17-51_00-18-51_label_B1-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\Ip.Man.3.2015__#00-17-51_00-18-51_label_B1-0-0_batch_926.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\Ip.Man.3.2015__#00-17-51_00-18-51_label_B1-0-0_batch_926.mp4,0
v=8tqeeBGjnPg__#00-03-12_00-04-15_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=8tqeeBGjnPg__#00-03-12_00-04-15_label_B6-0-0_batch_1509.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=8tqeeBGjnPg__#00-03-12_00-04-15_label_B6-0-0_batch_1509.mp4,3
Bullet.in.the.Head.1990__#02-02-00_02-05-22_label_B2-B6-G.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\Bullet.in.the.Head.1990__#02-02-00_02-05-22_label_B2-B6-G_batch_2224.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\Bullet.in.the.Head.1990__#02-02-00_02-05-22_label_B2-B6-G_batch_2224.mp4,4
v=iHuggczItBk__#00-03-00_00-03-55_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=iHuggczItBk__#00-03-00_00-03-55_label_B6-0-0_batch_1196.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=iHuggczItBk__#00-03-00_00-03-55_label_B6-0-0_batch_1196.mp4,0
Mindhunters.2004__#01-19-00_01-20-05_label_B2-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\Mindhunters.2004__#01-19-00_01-20-05_label_B2-0-0_batch_45.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\Mindhunters.2004__#01-19-00_01-20-05_label_B2-0-0_batch_45.mp4,4
Young.And.Dangerous.I.1996__#0-46-25_0-46-55_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\Young.And.Dangerous.I.1996__#0-46-25_0-46-55_label_B6-0-0_batch_832.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\Young.And.Dangerous.I.1996__#0-46-25_0-46-55_label_B6-0-0_batch_832.mp4,0
v=eqtJjxsTgtg__#1_label_G-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=eqtJjxsTgtg__#1_label_G-0-0_batch_354.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=eqtJjxsTgtg__#1_label_G-0-0_batch_354.mp4,1
v=6KQFxxHmVMc__#1_label_B1-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=6KQFxxHmVMc__#1_label_B1-0-0_batch_556.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=6KQFxxHmVMc__#1_label_B1-0-0_batch_556.mp4,2
v=TOEVc-pOEwM__#00-08-40_00-10-40_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=TOEVc-pOEwM__#00-08-40_00-10-40_label_B6-0-0_batch_710.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=TOEVc-pOEwM__#00-08-40_00-10-40_label_B6-0-0_batch_710.mp4,0
v=TOEVc-pOEwM__#00-08-40_00-10-40_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=TOEVc-pOEwM__#00-08-40_00-10-40_label_B6-0-0_batch_706.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=TOEVc-pOEwM__#00-08-40_00-10-40_label_B6-0-0_batch_706.mp4,0
City.of.God.2002__#01-52-20_01-54-32_label_B2-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\City.of.God.2002__#01-52-20_01-54-32_label_B2-0-0_batch_1959.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\City.of.God.2002__#01-52-20_01-54-32_label_B2-0-0_batch_1959.mp4,0
Ip.Man.2008__#01-40-37_01-42-07_label_B4-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\Ip.Man.2008__#01-40-37_01-42-07_label_B4-0-0_batch_456.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\Ip.Man.2008__#01-40-37_01-42-07_label_B4-0-0_batch_456.mp4,5
v=Lt9M_tSij_4__#00-00-00_00-04-24_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=Lt9M_tSij_4__#00-00-00_00-04-24_label_B6-0-0_batch_95.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=Lt9M_tSij_4__#00-00-00_00-04-24_label_B6-0-0_batch_95.mp4,0
v=251___mEwZA__#1_label_B1-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=251___mEwZA__#1_label_B1-0-0_batch_1880.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=251___mEwZA__#1_label_B1-0-0_batch_1880.mp4,0
GoldenEye.1995__#01-17-05_01-19-57_label_B2-B1-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\GoldenEye.1995__#01-17-05_01-19-57_label_B2-B1-0_batch_2430.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\GoldenEye.1995__#01-17-05_01-19-57_label_B2-B1-0_batch_2430.mp4,4
v=ROrpKx3aIjA__#1_label_G-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=ROrpKx3aIjA__#1_label_G-0-0_batch_2257.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=ROrpKx3aIjA__#1_label_G-0-0_batch_2257.mp4,0
v=2Rr21qkZEDQ__#00-14-10_00-16-09_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=2Rr21qkZEDQ__#00-14-10_00-16-09_label_B6-0-0_batch_166.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=2Rr21qkZEDQ__#00-14-10_00-16-09_label_B6-0-0_batch_166.mp4,0
City.Of.Men.2007__#00-51-50_00-53-31_label_B2-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\City.Of.Men.2007__#00-51-50_00-53-31_label_B2-0-0_batch_1153.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\City.Of.Men.2007__#00-51-50_00-53-31_label_B2-0-0_batch_1153.mp4,4
Taken.Extended.Cut.2008__#00-50-45_00-51-04_label_B2-B6-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\Taken.Extended.Cut.2008__#00-50-45_00-51-04_label_B2-B6-0_batch_1208.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\Taken.Extended.Cut.2008__#00-50-45_00-51-04_label_B2-B6-0_batch_1208.mp4,4
v=ICnreR1hxP0__#1_label_B4-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=ICnreR1hxP0__#1_label_B4-0-0_batch_501.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=ICnreR1hxP0__#1_label_B4-0-0_batch_501.mp4,0
v=Rc9EOFjtj0c__#1_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=Rc9EOFjtj0c__#1_label_B6-0-0_batch_823.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=Rc9EOFjtj0c__#1_label_B6-0-0_batch_823.mp4,0
v=YhCSFZNwfHc__#00-01-15_00-01-42_label_G-B2-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=YhCSFZNwfHc__#00-01-15_00-01-42_label_G-B2-0_batch_2099.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=YhCSFZNwfHc__#00-01-15_00-01-42_label_G-B2-0_batch_2099.mp4,1
Spectre.2015__#01-32-55_01-35-40_label_B1-B2-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\Spectre.2015__#01-32-55_01-35-40_label_B1-B2-0_batch_651.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\Spectre.2015__#01-32-55_01-35-40_label_B1-B2-0_batch_651.mp4,0
Mission.Impossible.V.Rogue.Nation.2015__#00-14-40_00-17-12_label_B1-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\Mission.Impossible.V.Rogue.Nation.2015__#00-14-40_00-17-12_label_B1-0-0_batch_1684.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\Mission.Impossible.V.Rogue.Nation.2015__#00-14-40_00-17-12_label_B1-0-0_batch_1684.mp4,0
Lord.of.War__#01-41-04_01-41-53_label_B1-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\Lord.of.War__#01-41-04_01-41-53_label_B1-0-0_batch_4.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\Lord.of.War__#01-41-04_01-41-53_label_B1-0-0_batch_4.mp4,0
GoldenEye.1995__#02-02-15_02-02-47_label_B1-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\GoldenEye.1995__#02-02-15_02-02-47_label_B1-0-0_batch_1670.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\GoldenEye.1995__#02-02-15_02-02-47_label_B1-0-0_batch_1670.mp4,2
v=X4I8FhpGJwo__#00-09-00_00-10-45_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=X4I8FhpGJwo__#00-09-00_00-10-45_label_B6-0-0_batch_1066.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=X4I8FhpGJwo__#00-09-00_00-10-45_label_B6-0-0_batch_1066.mp4,0
v=pFamvR9CpYw__#00-00-00_00-06-36_label_B4-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=pFamvR9CpYw__#00-00-00_00-06-36_label_B4-0-0_batch_1190.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=pFamvR9CpYw__#00-00-00_00-06-36_label_B4-0-0_batch_1190.mp4,5
v=waIS8TaJxts__#00-09-00_00-10-45_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=waIS8TaJxts__#00-09-00_00-10-45_label_B6-0-0_batch_618.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=waIS8TaJxts__#00-09-00_00-10-45_label_B6-0-0_batch_618.mp4,3
v=OOjjPGN8jSU__#1_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=OOjjPGN8jSU__#1_label_B6-0-0_batch_1763.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=OOjjPGN8jSU__#1_label_B6-0-0_batch_1763.mp4,0
v=1q5V6DKH3bw__#1_label_B4-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=1q5V6DKH3bw__#1_label_B4-0-0_batch_1548.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=1q5V6DKH3bw__#1_label_B4-0-0_batch_1548.mp4,0
Operation.Red.Sea.2018__#01-37-22_01-37-36_label_G-B2-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\Operation.Red.Sea.2018__#01-37-22_01-37-36_label_G-B2-0_batch_793.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\Operation.Red.Sea.2018__#01-37-22_01-37-36_label_G-B2-0_batch_793.mp4,1
Taken.3.2014__#01-12-48_01-14-30_label_B2-B1-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\Taken.3.2014__#01-12-48_01-14-30_label_B2-B1-0_batch_1710.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\Taken.3.2014__#01-12-48_01-14-30_label_B2-B1-0_batch_1710.mp4,0
v=qqsd-cZr01k__#00-01-00_00-02-45_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=qqsd-cZr01k__#00-01-00_00-02-45_label_B6-0-0_batch_146.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=qqsd-cZr01k__#00-01-00_00-02-45_label_B6-0-0_batch_146.mp4,3
v=Z12t5h2mBJc__#1_label_B1-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=Z12t5h2mBJc__#1_label_B1-0-0_batch_1101.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=Z12t5h2mBJc__#1_label_B1-0-0_batch_1101.mp4,0
v=EH_QB6cm6BE__#1_label_G-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=EH_QB6cm6BE__#1_label_G-0-0_batch_2459.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=EH_QB6cm6BE__#1_label_G-0-0_batch_2459.mp4,0
v=BzwNU2xmT64__#00-04-10_00-06-09_label_B6-0-0.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\rgb_videos\v=BzwNU2xmT64__#00-04-10_00-06-09_label_B6-0-0_batch_733.mp4,E:\SRC-Bhuvaneswari\processed files\video\ftest\flow_videos\v=BzwNU2xmT64__#00-04-10_00-06-09_label_B6-0-0_batch_733.mp4,0
